Year,Month,Day,Hour,power (MW),wind speed at 100m (m/s)
2010,1,7,15,3.779,7.339
2010,1,7,16,2.23,6.247
2010,1,7,17,2.877,6.723
2010,1,7,18,3.483,7.168
2010,1,7,19,4.149,7.565
2010,1,7,20,4.593,7.815
2010,1,7,21,5.123,8.111
2010,1,7,22,8.572,9.637
2010,1,7,23,9.36,9.933
2010,1,8,0,9.791,10.092
2010,1,8,1,7.982,9.402
2010,1,8,2,5.442,8.273
2010,1,8,3,4.816,7.925
2010,1,8,4,2.584,6.512
2010,1,8,5,1.702,5.725
2010,1,8,6,1.279,5.291
2010,1,8,7,1.12,5.105
2010,1,8,8,1.111,5.093
2010,1,8,9,1.62,5.645
2010,1,8,10,1.824,5.853
2010,1,8,11,1.171,5.175
2010,1,8,12,0.849,4.721
2010,1,8,13,0.944,4.855
2010,1,8,14,1.071,5.035
2010,1,8,15,1.161,5.166
2010,1,8,16,1.658,5.688
2010,1,8,17,2.086,6.131
2010,1,8,18,2.524,6.485
2010,1,8,19,3.854,7.413
2010,1,8,20,4.066,7.529
2010,1,8,21,2.981,6.808
2010,1,8,22,3.765,7.352
2010,1,8,23,8.9,9.744
2010,1,9,0,13.097,11.447
2010,1,9,1,14.847,12.597
2010,1,9,2,13.851,11.887
2010,1,9,3,13.69,11.777
2010,1,9,4,14.037,11.987
2010,1,9,5,15.588,13.324
2010,1,9,6,14.685,12.375
2010,1,9,7,14.679,12.366
2010,1,9,8,13.064,11.349
2010,1,9,9,11.315,10.602
2010,1,9,10,12.343,11.032
2010,1,9,11,10.895,10.416
2010,1,9,12,11.003,10.455
2010,1,9,13,13.28,11.456
2010,1,9,14,13.307,11.468
2010,1,9,15,11.876,10.815
2010,1,9,16,10.292,10.168
2010,1,9,17,9.091,9.723
2010,1,9,18,10.464,10.245
2010,1,9,19,10.593,10.3
2010,1,9,20,10.883,10.431
2010,1,9,21,11.905,10.861
2010,1,9,22,14.375,12.17
2010,1,9,23,14.727,12.399
2010,1,10,0,14.712,12.375
2010,1,10,1,15.221,12.89
2010,1,10,2,14.538,12.219
2010,1,10,3,14.142,11.966
2010,1,10,4,14.145,11.963
2010,1,10,5,13.543,11.584
2010,1,10,6,13.635,11.639
2010,1,10,7,13.294,11.423
2010,1,10,8,13.067,11.279
2010,1,10,9,12.459,11.017
2010,1,10,10,12.495,11.029
2010,1,10,11,12.593,11.069
2010,1,10,12,11.967,10.806
2010,1,10,13,11.276,10.516
2010,1,10,14,10.115,10.055
2010,1,10,15,7.283,8.969
2010,1,10,16,6.716,8.734
2010,1,10,17,5.236,8.069
2010,1,10,18,5.183,8.047
2010,1,10,19,5.907,8.407
2010,1,10,20,6.199,8.545
2010,1,10,21,6.941,8.874
2010,1,10,22,7.098,8.944
2010,1,10,23,5.076,8.011
2010,1,11,0,5.904,8.423
2010,1,11,1,7.649,9.189
2010,1,11,2,9.553,9.912
2010,1,11,3,9.484,9.888
2010,1,11,4,8.117,9.378
2010,1,11,5,7.434,9.094
2010,1,11,6,7.338,9.051
2010,1,11,7,7.448,9.097
2010,1,11,8,8.301,9.442
2010,1,11,9,7.947,9.308
2010,1,11,10,7.172,8.972
2010,1,11,11,7.035,8.911
2010,1,11,12,7.168,8.969
2010,1,11,13,7.458,9.097
2010,1,11,14,5.725,8.337
2010,1,11,15,4.058,7.452
2010,1,11,16,2.943,6.729
2010,1,11,17,2.287,6.262
2010,1,11,18,2.865,6.686
2010,1,11,19,2.728,6.592
2010,1,11,20,2.763,6.622
2010,1,11,21,2.749,6.613
2010,1,11,22,3.087,6.86
2010,1,11,23,4.108,7.519
2010,1,12,0,4.583,7.782
2010,1,12,1,5.244,8.145
2010,1,12,2,5.4,8.23
2010,1,12,3,4.159,7.547
2010,1,12,4,3.947,7.428
2010,1,12,5,4.284,7.611
2010,1,12,6,3.714,7.296
2010,1,12,7,2.321,6.302
2010,1,12,8,1.187,5.179
2010,1,12,9,0.889,4.76
2010,1,12,10,0.486,4.193
2010,1,12,11,0.267,3.723
2010,1,12,12,0.719,4.522
2010,1,12,13,1.567,5.569
2010,1,12,14,1.639,5.642
2010,1,12,15,2.475,6.411
2010,1,12,16,3.297,7.01
2010,1,12,17,3.313,7.025
2010,1,12,18,3.561,7.208
2010,1,12,19,6.511,8.74
2010,1,12,20,5.435,8.258
2010,1,12,21,8.599,9.619
2010,1,12,22,14.673,12.436
2010,1,12,23,15.55,13.33
2010,1,13,0,15.598,13.358
2010,1,13,1,15.594,13.336
2010,1,13,2,16,14.707
2010,1,13,3,15.395,13.083
2010,1,13,4,15.718,13.498
2010,1,13,5,15.953,14.233
2010,1,13,6,15.171,12.826
2010,1,13,7,13.037,11.294
2010,1,13,8,12.442,11.047
2010,1,13,9,11.955,10.846
2010,1,13,10,12.294,10.992
2010,1,13,11,9.18,9.75
2010,1,13,12,4.268,7.55
2010,1,13,13,5.691,8.307
2010,1,13,14,5.618,8.276
2010,1,13,15,5.204,8.066
2010,1,13,16,4.648,7.77
2010,1,13,17,3.393,7.049
2010,1,13,18,1.619,5.603
2010,1,13,19,0.926,4.803
2010,1,13,20,2.061,6.067
2010,1,13,21,1.518,5.517
2010,1,13,22,2.205,6.219
2010,1,13,23,6.129,8.56
2010,1,14,0,7.9,9.345
2010,1,14,1,4.322,7.641
2010,1,14,2,3.109,6.888
2010,1,14,3,2.844,6.695
2010,1,14,4,2.876,6.717
2010,1,14,5,3.585,7.229
2010,1,14,6,1.803,5.816
2010,1,14,7,0.412,4.058
2010,1,14,8,0.319,3.842
2010,1,14,9,0.516,4.235
2010,1,14,10,0.244,3.668
2010,1,14,11,0.365,3.942
2010,1,14,12,0.165,3.482
2010,1,14,13,0,2.624
2010,1,14,14,0,1.492
2010,1,14,15,0,1.077
2010,1,14,16,0,0.689
2010,1,14,17,0,1.608
2010,1,14,18,0,2.484
2010,1,14,19,0,3.045
2010,1,14,20,0.187,3.543
2010,1,14,21,0.33,3.872
2010,1,14,22,0.315,3.839
2010,1,14,23,0.668,4.458
2010,1,15,0,1.207,5.212
2010,1,15,1,2.964,6.787
2010,1,15,2,3.182,6.949
2010,1,15,3,2.967,6.796
2010,1,15,4,5.829,8.462
2010,1,15,5,5.156,8.127
2010,1,15,6,5.43,8.279
2010,1,15,7,7.169,9.057
2010,1,15,8,7.076,9.018
2010,1,15,9,5.849,8.471
2010,1,15,10,7.537,9.219
2010,1,15,11,7.61,9.25
2010,1,15,12,6.169,8.609
2010,1,15,13,5.326,8.215
2010,1,15,14,5.019,8.047
2010,1,15,15,5.175,8.133
2010,1,15,16,7.458,9.192
2010,1,15,17,5.629,8.383
2010,1,15,18,6.991,8.996
2010,1,15,19,6.022,8.572
2010,1,15,20,4.062,7.544
2010,1,15,21,3.995,7.51
2010,1,15,22,14.688,12.512
2010,1,15,23,10.067,10.205
2010,1,16,0,10.923,10.535
2010,1,16,1,6.073,8.56
2010,1,16,2,7.849,9.344
2010,1,16,3,6.734,8.847
2010,1,16,4,5.109,8.081
2010,1,16,5,2.168,6.195
2010,1,16,6,1.687,5.7
2010,1,16,7,1.411,5.42
2010,1,16,8,1.636,5.652
2010,1,16,9,1.903,5.923
2010,1,16,10,2.555,6.482
2010,1,16,11,3.289,7.013
2010,1,16,12,3.426,7.11
2010,1,16,13,5.554,8.313
2010,1,16,14,5.189,8.121
2010,1,16,15,3.856,7.391
2010,1,16,16,5.931,8.496
2010,1,16,17,5.107,8.093
2010,1,16,18,6.124,8.594
2010,1,16,19,7.505,9.21
2010,1,16,20,9.031,9.817
2010,1,16,21,9.001,9.811
2010,1,16,22,7.695,9.311
2010,1,16,23,7.578,9.259
2010,1,17,0,6.456,8.761
2010,1,17,1,6.634,8.841
2010,1,17,2,3.933,7.461
2010,1,17,3,2.042,6.088
2010,1,17,4,2.615,6.555
2010,1,17,5,0.941,4.861
2010,1,17,6,0.486,4.214
2010,1,17,7,0.102,3.357
2010,1,17,8,0,1.837
2010,1,17,9,0,2.801
2010,1,17,10,0.373,3.982
2010,1,17,11,1.162,5.169
2010,1,17,12,1.924,5.966
2010,1,17,13,4.481,7.76
2010,1,17,14,5.997,8.548
2010,1,17,15,6.352,8.709
2010,1,17,16,7.794,9.356
2010,1,17,17,9.896,10.162
2010,1,17,18,11.043,10.623
2010,1,17,19,11.195,10.693
2010,1,17,20,13.945,12.06
2010,1,17,21,15.765,13.867
2010,1,17,22,15.972,14.548
2010,1,17,23,15.965,14.532
2010,1,18,0,16,15.182
2010,1,18,1,16,16.95
2010,1,18,2,16,17.719
2010,1,18,3,16,18.051
2010,1,18,4,16,18.637
2010,1,18,5,16,20.282
2010,1,18,6,16,17.902
2010,1,18,7,16,16.965
2010,1,18,8,16,15.356
2010,1,18,9,16,15.158
2010,1,18,10,16,16.458
2010,1,18,11,16,15.265
2010,1,18,12,16,15.558
2010,1,18,13,16,16.373
2010,1,18,14,16,14.944
2010,1,18,15,15.949,14.447
2010,1,18,16,14.959,12.82
2010,1,18,17,11.017,10.635
2010,1,18,18,8.153,9.53
2010,1,18,19,7.356,9.198
2010,1,18,20,5.269,8.24
2010,1,18,21,3.687,7.358
2010,1,18,22,3.023,6.878
2010,1,18,23,6.322,8.722
2010,1,19,0,3.224,7.016
2010,1,19,1,2.728,6.65
2010,1,19,2,1.248,5.282
2010,1,19,3,0.933,4.858
2010,1,19,4,0.546,4.309
2010,1,19,5,0.502,4.245
2010,1,19,6,0.328,3.891
2010,1,19,7,0.456,4.181
2010,1,19,8,0.544,4.306
2010,1,19,9,0.837,4.724
2010,1,19,10,1.26,5.294
2010,1,19,11,1.862,5.917
2010,1,19,12,2.943,6.811
2010,1,19,13,4.337,7.708
2010,1,19,14,4.022,7.519
2010,1,19,15,3.708,7.33
2010,1,19,16,2.237,6.277
2010,1,19,17,1.449,5.478
2010,1,19,18,0.743,4.58
2010,1,19,19,0.206,3.604
2010,1,19,20,0,2.075
2010,1,19,21,0,1.889
2010,1,19,22,0,2.343
2010,1,19,23,0,2.969
2010,1,20,0,0.125,3.424
2010,1,20,1,0.329,3.897
2010,1,20,2,0.777,4.638
2010,1,20,3,2.622,6.576
2010,1,20,4,1.526,5.563
2010,1,20,5,1.364,5.383
2010,1,20,6,1.154,5.154
2010,1,20,7,1.546,5.569
2010,1,20,8,1.773,5.801
2010,1,20,9,1.962,5.993
2010,1,20,10,1.858,5.886
2010,1,20,11,2.214,6.253
2010,1,20,12,1.791,5.822
2010,1,20,13,1.237,5.252
2010,1,20,14,1.983,6.021
2010,1,20,15,1.922,5.96
2010,1,20,16,2.682,6.598
2010,1,20,17,1.814,5.853
2010,1,20,18,2.895,6.762
2010,1,20,19,3.733,7.355
2010,1,20,20,4.283,7.66
2010,1,20,21,5.471,8.316
2010,1,20,22,7.344,9.149
2010,1,20,23,8.595,9.653
2010,1,21,0,5.541,8.34
2010,1,21,1,6.778,8.886
2010,1,21,2,8.794,9.714
2010,1,21,3,11.541,10.791
2010,1,21,4,7.719,9.286
2010,1,21,5,6.062,8.551
2010,1,21,6,7.255,9.076
2010,1,21,7,6.236,8.621
2010,1,21,8,6.544,8.755
2010,1,21,9,5.805,8.426
2010,1,21,10,4.65,7.818
2010,1,21,11,3.56,7.205
2010,1,21,12,2.733,6.604
2010,1,21,13,2.077,6.091
2010,1,21,14,1.421,5.42
2010,1,21,15,0.732,4.541
2010,1,21,16,0.263,3.714
2010,1,21,17,0.111,3.366
2010,1,21,18,0,3.064
2010,1,21,19,0,1.541
2010,1,21,20,0,1.144
2010,1,21,21,0,0.521
2010,1,21,22,0,0.256
2010,1,21,23,0,0.295
2010,1,22,0,0,0.415
2010,1,22,1,0,0.93
2010,1,22,2,0,1.12
2010,1,22,3,0,1.794
2010,1,22,4,0,2.929
2010,1,22,5,0.078,3.299
2010,1,22,6,0.678,4.483
2010,1,22,7,1.247,5.264
2010,1,22,8,1.831,5.862
2010,1,22,9,2.513,6.466
2010,1,22,10,3.627,7.278
2010,1,22,11,5.298,8.203
2010,1,22,12,7.185,9.063
2010,1,22,13,10.191,10.245
2010,1,22,14,11.08,10.602
2010,1,22,15,9.713,10.065
2010,1,22,16,8.701,9.686
2010,1,22,17,7.456,9.195
2010,1,22,18,7.194,9.082
2010,1,22,19,8.378,9.576
2010,1,22,20,9.446,9.982
2010,1,22,21,11.004,10.586
2010,1,22,22,11.742,10.898
2010,1,22,23,15.322,13.15
2010,1,23,0,15.384,13.202
2010,1,23,1,14.972,12.759
2010,1,23,2,14.971,12.75
2010,1,23,3,14.982,12.756
2010,1,23,4,14.867,12.631
2010,1,23,5,15.14,12.912
2010,1,23,6,14.492,12.308
2010,1,23,7,14.076,12.036
2010,1,23,8,13.308,11.545
2010,1,23,9,12.196,11.011
2010,1,23,10,11.158,10.565
2010,1,23,11,10.265,10.199
2010,1,23,12,10.262,10.196
2010,1,23,13,9.74,9.997
2010,1,23,14,6.738,8.795
2010,1,23,15,4.688,7.803
2010,1,23,16,2.823,6.646
2010,1,23,17,1.292,5.276
2010,1,23,18,0.917,4.794
2010,1,23,19,0.389,4.001
2010,1,23,20,0.111,3.363
2010,1,23,21,0,3.045
2010,1,23,22,0,2.795
2010,1,23,23,0,2.655
2010,1,24,0,0,2.224
2010,1,24,1,0,2.203
2010,1,24,2,0,2.423
2010,1,24,3,0,2.667
2010,1,24,4,0,2.893
2010,1,24,5,0.011,3.137
2010,1,24,6,0.045,3.216
2010,1,24,7,0.091,3.323
2010,1,24,8,0.199,3.573
2010,1,24,9,0.498,4.22
2010,1,24,10,0.901,4.791
2010,1,24,11,1.452,5.468
2010,1,24,12,2.483,6.445
2010,1,24,13,3.538,7.217
2010,1,24,14,3.865,7.419
2010,1,24,15,4.825,7.956
2010,1,24,16,5.787,8.465
2010,1,24,17,7.067,9.042
2010,1,24,18,8.55,9.668
2010,1,24,19,9.987,10.223
2010,1,24,20,10.224,10.319
2010,1,24,21,13.441,11.783
2010,1,24,22,15.919,14.419
2010,1,24,23,16,14.896
2010,1,25,0,15.985,14.642
2010,1,25,1,16,17.773
2010,1,25,2,16,17.3
2010,1,25,3,16,17.346
2010,1,25,4,16,16.968
2010,1,25,5,16,18.314
2010,1,25,6,16,18.082
2010,1,25,7,16,19.113
2010,1,25,8,16,19.36
2010,1,25,9,16,19.937
2010,1,25,10,16,19.937
2010,1,25,11,16,21.274
2010,1,25,12,16,21.271
2010,1,25,13,16,21.485
2010,1,25,14,16,22.711
2010,1,25,15,16,24.326
2010,1,25,16,16,25.626
2010,1,25,17,0,25.278
2010,1,25,18,0,26.279
2010,1,25,19,16,20.392
2010,1,25,20,16,22.016
2010,1,25,21,16,16.925
2010,1,25,22,16,16.193
2010,1,25,23,16,15.35
2010,1,26,0,16,16.498
2010,1,26,1,16,15.347
2010,1,26,2,13.719,12.058
2010,1,26,3,9.647,10.193
2010,1,26,4,10.434,10.501
2010,1,26,5,9.397,10.067
2010,1,26,6,12.564,11.377
2010,1,26,7,1.644,5.731
2010,1,26,8,10.587,10.504
2010,1,26,9,4.768,7.987
2010,1,26,10,11.721,10.974
2010,1,26,11,11.456,10.846
2010,1,26,12,10.489,10.425
2010,1,26,13,13.321,11.679
2010,1,26,14,13.657,11.887
2010,1,26,15,11.66,10.901
2010,1,26,16,14.436,12.378
2010,1,26,17,15.767,13.879
2010,1,26,18,15.759,13.858
2010,1,26,19,15.445,13.351
2010,1,26,20,15.809,14.026
2010,1,26,21,15.745,13.818
2010,1,26,22,15.062,12.939
2010,1,26,23,16,15.128
2010,1,27,0,15.87,14.2
2010,1,27,1,15.088,12.945
2010,1,27,2,15.652,13.528
2010,1,27,3,13.588,11.807
2010,1,27,4,11.275,10.702
2010,1,27,5,9.165,9.863
2010,1,27,6,8.457,9.588
2010,1,27,7,9.936,10.144
2010,1,27,8,11.414,10.736
2010,1,27,9,11.869,10.925
2010,1,27,10,11.983,10.968
2010,1,27,11,12.466,11.169
2010,1,27,12,12.683,11.258
2010,1,27,13,12.418,11.142
2010,1,27,14,9.861,10.089
2010,1,27,15,7.135,9.015
2010,1,27,16,5.899,8.471
2010,1,27,17,5.826,8.441
2010,1,27,18,4.968,8.008
2010,1,27,19,7.317,9.109
2010,1,27,20,9.887,10.116
2010,1,27,21,10.271,10.263
2010,1,27,22,10.923,10.522
2010,1,27,23,11.165,10.62
2010,1,28,0,10.512,10.339
2010,1,28,1,11.193,10.62
2010,1,28,2,11.548,10.77
2010,1,28,3,13.036,11.398
2010,1,28,4,12.843,11.316
2010,1,28,5,10.064,10.159
2010,1,28,6,7.302,9.079
2010,1,28,7,5.533,8.294
2010,1,28,8,4.212,7.571
2010,1,28,9,3.072,6.848
2010,1,28,10,1.862,5.874
2010,1,28,11,2.464,6.415
2010,1,28,12,2.379,6.356
2010,1,28,13,2.589,6.512
2010,1,28,14,4.159,7.562
2010,1,28,15,6.079,8.554
2010,1,28,16,2.108,6.14
2010,1,28,17,2.83,6.704
2010,1,28,18,4.597,7.831
2010,1,28,19,5.92,8.526
2010,1,28,20,8.621,9.686
2010,1,28,21,14.221,12.234
2010,1,28,22,16,16.608
2010,1,28,23,16,17.047
2010,1,29,0,16,19.345
2010,1,29,1,16,15.744
2010,1,29,2,16,17.267
2010,1,29,3,16,15.637
2010,1,29,4,16,16.211
2010,1,29,5,16,14.844
2010,1,29,6,16,14.993
2010,1,29,7,16,15.32
2010,1,29,8,16,15.909
2010,1,29,9,15.91,14.044
2010,1,29,10,15.775,13.605
2010,1,29,11,16,14.465
2010,1,29,12,16,15.35
2010,1,29,13,16,14.691
2010,1,29,14,15.722,13.419
2010,1,29,15,15.813,13.712
2010,1,29,16,14.832,12.418
2010,1,29,17,15.167,12.772
2010,1,29,18,15.641,13.272
2010,1,29,19,15.818,13.767
2010,1,29,20,15.763,13.596
2010,1,29,21,15.797,13.703
2010,1,29,22,16,14.365
2010,1,29,23,16,15.137
2010,1,30,0,16,16.071
2010,1,30,1,16,15.906
2010,1,30,2,16,15.305
2010,1,30,3,16,15.106
2010,1,30,4,15.318,12.897
2010,1,30,5,14.807,12.366
2010,1,30,6,13.632,11.584
2010,1,30,7,13.446,11.468
2010,1,30,8,12.61,11.038
2010,1,30,9,9.601,9.83
2010,1,30,10,7.166,8.88
2010,1,30,11,8.16,9.289
2010,1,30,12,10.087,10
2010,1,30,13,6.959,8.777
2010,1,30,14,8.248,9.317
2010,1,30,15,7.34,8.96
2010,1,30,16,5.153,7.977
2010,1,30,17,3.901,7.309
2010,1,30,18,2.751,6.543
2010,1,30,19,2.237,6.183
2010,1,30,20,2.696,6.518
2010,1,30,21,2.665,6.5
2010,1,30,22,3.165,6.863
2010,1,30,23,4.197,7.51
2010,1,31,0,5.399,8.169
2010,1,31,1,6.85,8.819
2010,1,31,2,10.033,10.08
2010,1,31,3,11.197,10.547
2010,1,31,4,12.104,10.928
2010,1,31,5,11.085,10.498
2010,1,31,6,13.541,11.63
2010,1,31,7,13.491,11.597
2010,1,31,8,14.719,12.375
2010,1,31,9,14.965,12.628
2010,1,31,10,11.571,10.687
2010,1,31,11,11.577,10.681
2010,1,31,12,12.324,10.989
2010,1,31,13,11.722,10.73
2010,1,31,14,8.739,9.564
2010,1,31,15,6.093,8.468
2010,1,31,16,3.618,7.187
2010,1,31,17,2.923,6.695
2010,1,31,18,2.337,6.28
2010,1,31,19,2.384,6.32
2010,1,31,20,2.047,6.036
2010,1,31,21,2.678,6.54
2010,1,31,22,2.539,6.442
2010,1,31,23,6.947,8.899
2010,2,1,0,9.254,9.833
2010,2,1,1,12.683,11.224
2010,2,1,2,14.695,12.414
2010,2,1,3,14.283,12.152
2010,2,1,4,15.681,13.458
2010,2,1,5,16,15.424
2010,2,1,6,15.686,13.464
2010,2,1,7,15.074,12.796
2010,2,1,8,15.314,13.04
2010,2,1,9,15.146,12.86
2010,2,1,10,15.704,13.498
2010,2,1,11,15.727,13.565
2010,2,1,12,15.679,13.406
2010,2,1,13,15.278,12.976
2010,2,1,14,14.563,12.283
2010,2,1,15,13.471,11.603
2010,2,1,16,11.197,10.562
2010,2,1,17,6.737,8.792
2010,2,1,18,3.378,7.046
2010,2,1,19,4.13,7.507
2010,2,1,20,4.918,7.943
2010,2,1,21,6.062,8.514
2010,2,1,22,6.266,8.606
2010,2,1,23,7.441,9.125
2010,2,2,0,9.549,9.949
2010,2,2,1,9.32,9.863
2010,2,2,2,9.01,9.747
2010,2,2,3,8.469,9.543
2010,2,2,4,5.739,8.377
2010,2,2,5,5.4,8.215
2010,2,2,6,3.859,7.367
2010,2,2,7,3.036,6.811
2010,2,2,8,3.275,6.982
2010,2,2,9,3.768,7.309
2010,2,2,10,1.757,5.746
2010,2,2,11,0.758,4.562
2010,2,2,12,0,2.92
2010,2,2,13,0,2.786
2010,2,2,14,0.347,3.894
2010,2,2,15,0.416,4.052
2010,2,2,16,0.265,3.708
2010,2,2,17,0.123,3.381
2010,2,2,18,0,2.789
2010,2,2,19,0,2.792
2010,2,2,20,0,2.731
2010,2,2,21,0,2.685
2010,2,2,22,0,2.679
2010,2,2,23,0.022,3.158
2010,2,3,0,0.207,3.585
2010,2,3,1,0.339,3.891
2010,2,3,2,0.436,4.116
2010,2,3,3,0.638,4.416
2010,2,3,4,0.767,4.599
2010,2,3,5,1.201,5.206
2010,2,3,6,1.519,5.529
2010,2,3,7,2.087,6.106
2010,2,3,8,2.793,6.649
2010,2,3,9,3.856,7.376
2010,2,3,10,3.146,6.9
2010,2,3,11,2.056,6.07
2010,2,3,12,0.956,4.858
2010,2,3,13,0.357,3.93
2010,2,3,14,0,2.67
2010,2,3,15,0,1.803
2010,2,3,16,0,2.42
2010,2,3,17,0.013,3.143
2010,2,3,18,0.324,3.863
2010,2,3,19,1.371,5.386
2010,2,3,20,0.036,3.204
2010,2,3,21,1.678,5.71
2010,2,3,22,2.54,6.494
2010,2,3,23,1.956,5.993
2010,2,4,0,8.837,9.735
2010,2,4,1,12,10.983
2010,2,4,2,9.758,10.056
2010,2,4,3,11.117,10.586
2010,2,4,4,12.594,11.209
2010,2,4,5,13.405,11.618
2010,2,4,6,10.503,10.312
2010,2,4,7,10.606,10.348
2010,2,4,8,11.069,10.544
2010,2,4,9,14.706,12.43
2010,2,4,10,13.424,11.609
2010,2,4,11,13.67,11.755
2010,2,4,12,7.787,9.259
2010,2,4,13,8.018,9.344
2010,2,4,14,4.617,7.757
2010,2,4,15,11.87,10.843
2010,2,4,16,9.825,10.019
2010,2,4,17,12.096,10.943
2010,2,4,18,6.724,8.786
2010,2,4,19,1.992,5.984
2010,2,4,20,2.942,6.735
