Year,Month,Day,Hour,power (MW),wind speed at 100m (m/s)
2010,1,1,0,0.18,3.537
2010,1,1,1,0.154,3.476
2010,1,1,2,0.411,4.071
2010,1,1,3,0.272,3.75
2010,1,1,4,0.208,3.604
2010,1,1,5,0.19,3.564
2010,1,1,6,0.092,3.338
2010,1,1,7,0,3.06
2010,1,1,8,0.061,3.268
2010,1,1,9,0,2.865
2010,1,1,10,0.106,3.372
2010,1,1,11,0,3.082
2010,1,1,12,0,2.969
2010,1,1,13,0,2.621
2010,1,1,14,0,2.975
2010,1,1,15,0.035,3.207
2010,1,1,16,0.093,3.341
2010,1,1,17,0,3.067
2010,1,1,18,0,2.505
2010,1,1,19,0,2.572
2010,1,1,20,0,2.908
2010,1,1,21,0.315,3.869
2010,1,1,22,2.092,6.161
2010,1,1,23,1.877,5.938
2010,1,2,0,2.908,6.79
2010,1,2,1,3.433,7.174
2010,1,2,2,3.658,7.333
2010,1,2,3,3.271,7.055
2010,1,2,4,4.699,7.907
2010,1,2,5,8.499,9.64
2010,1,2,6,11.162,10.678
2010,1,2,7,13.88,12.003
2010,1,2,8,11.683,10.889
2010,1,2,9,9.962,10.181
2010,1,2,10,11.608,10.849
2010,1,2,11,12.457,11.206
2010,1,2,12,12.853,11.371
2010,1,2,13,13.215,11.56
2010,1,2,14,14.317,12.259
2010,1,2,15,15.032,12.857
2010,1,2,16,15.566,13.418
2010,1,2,17,15.762,13.809
2010,1,2,18,15.241,13.074
2010,1,2,19,15.187,13.016
2010,1,2,20,15.682,13.547
2010,1,2,21,16,14.676
2010,1,2,22,16,14.884
2010,1,2,23,16,16.773
2010,1,3,0,16,17.023
2010,1,3,1,16,17.627
2010,1,3,2,16,17.749
2010,1,3,3,16,17.78
2010,1,3,4,16,18.613
2010,1,3,5,16,19.095
2010,1,3,6,16,18.506
2010,1,3,7,16,19.37
2010,1,3,8,16,19.776
2010,1,3,9,16,20.648
2010,1,3,10,16,21.021
2010,1,3,11,16,21.72
2010,1,3,12,16,20.325
2010,1,3,13,16,20.221
2010,1,3,14,16,20.426
2010,1,3,15,16,19.226
2010,1,3,16,16,19
2010,1,3,17,16,19.061
2010,1,3,18,16,18.152
2010,1,3,19,16,17.468
2010,1,3,20,16,17.642
2010,1,3,21,16,17.862
2010,1,3,22,16,18.234
2010,1,3,23,16,17.963
2010,1,4,0,16,17.679
2010,1,4,1,16,16.705
2010,1,4,2,16,16.687
2010,1,4,3,16,16.702
2010,1,4,4,16,15.707
2010,1,4,5,16,15.906
2010,1,4,6,16,15.14
2010,1,4,7,15.976,14.444
2010,1,4,8,15.782,13.821
2010,1,4,9,15.279,13.065
2010,1,4,10,15.598,13.391
2010,1,4,11,15.486,13.269
2010,1,4,12,14.825,12.573
2010,1,4,13,13.881,11.917
2010,1,4,14,13.133,11.447
2010,1,4,15,12.315,11.084
2010,1,4,16,9.501,9.949
2010,1,4,17,8.142,9.442
2010,1,4,18,7.779,9.308
2010,1,4,19,8.332,9.527
2010,1,4,20,8.175,9.473
2010,1,4,21,8.573,9.625
2010,1,4,22,11.239,10.66
2010,1,4,23,13.22,11.532
2010,1,5,0,13.818,11.902
2010,1,5,1,11.661,10.818
2010,1,5,2,10.36,10.266
2010,1,5,3,10.72,10.4
2010,1,5,4,10.6,10.345
2010,1,5,5,10.26,10.214
2010,1,5,6,10.24,10.205
2010,1,5,7,10.221,10.196
2010,1,5,8,10.087,10.144
2010,1,5,9,10.258,10.208
2010,1,5,10,10.527,10.309
2010,1,5,11,9.125,9.781
2010,1,5,12,8.076,9.387
2010,1,5,13,8.655,9.607
2010,1,5,14,7.881,9.317
2010,1,5,15,7.16,9.006
2010,1,5,16,6.822,8.865
2010,1,5,17,6.431,8.7
2010,1,5,18,6.149,8.581
2010,1,5,19,5.886,8.472
2010,1,5,20,6.692,8.835
2010,1,5,21,6.261,8.649
2010,1,5,22,10.018,10.174
2010,1,5,23,11.862,10.928
2010,1,6,0,11.951,10.962
2010,1,6,1,11.889,10.931
2010,1,6,2,10.351,10.284
2010,1,6,3,8.286,9.5
2010,1,6,4,8.317,9.512
2010,1,6,5,8.479,9.573
2010,1,6,6,7.969,9.381
2010,1,6,7,7.517,9.189
2010,1,6,8,7.407,9.14
2010,1,6,9,7.622,9.234
2010,1,6,10,9.06,9.793
2010,1,6,11,9.617,10
2010,1,6,12,10.729,10.425
2010,1,6,13,9.619,9.997
2010,1,6,14,10.784,10.446
2010,1,6,15,7.079,8.987
2010,1,6,16,6.817,8.877
2010,1,6,17,7.65,9.253
2010,1,6,18,8.052,9.424
2010,1,6,19,8.799,9.714
2010,1,6,20,9.888,10.135
2010,1,6,21,11.655,10.858
2010,1,6,22,14.712,12.509
2010,1,6,23,15.099,12.903
2010,1,7,0,15.318,13.122
2010,1,7,1,15.59,13.4
2010,1,7,2,15.509,13.306
2010,1,7,3,14.918,12.683
2010,1,7,4,14.46,12.296
2010,1,7,5,13.393,11.624
2010,1,7,6,12.458,11.154
2010,1,7,7,10.772,10.44
2010,1,7,8,10.728,10.422
2010,1,7,9,9.618,9.997
2010,1,7,10,8.731,9.662
2010,1,7,11,8.436,9.549
2010,1,7,12,8.619,9.616
2010,1,7,13,9.165,9.82
2010,1,7,14,9.021,9.765
