YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2010-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.7,3,0.088,1,0.088,1,0.347,2,0.16,0
2010-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.088,1,0.088,1,0.348,51,0.16,0
2010-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,51,0.088,1,0.088,1,0.350,51,0.16,0
2010-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,3,0.088,1,0.088,1,0.351,51,0.16,0
2010-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,51,0.088,1,0.088,1,0.352,51,0.16,0
2010-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,51,0.088,1,0.088,1,0.353,51,0.16,0
2010-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.088,1,0.088,1,0.355,51,0.16,0
2010-01-01,8:00,87.0,124.0,52,979,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,12,28,6,31,11,28,13,10,29,16,11,10,-9900,99,-9900,99,-9900,99,1.4,51,0.088,1,0.173,1,0.356,51,0.16,0
2010-01-01,9:00,79.7,133.0,254,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,60,28,35,31,54,28,110,10,298,16,56,10,-9900,99,-9900,99,-9900,99,1.3,51,0.088,1,0.173,1,0.357,51,0.16,0
2010-01-01,10:00,72.3,145.0,431,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,160,28,87,31,133,28,236,10,503,16,83,10,-9900,99,-9900,99,-9900,99,1.3,3,0.088,1,0.173,1,0.358,51,0.16,0
2010-01-01,11:00,66.9,158.5,555,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,67,28,0,31,67,28,338,10,603,16,101,10,-9900,99,-9900,99,-9900,99,1.3,51,0.088,1,0.173,1,0.360,51,0.16,0
2010-01-01,12:00,64.1,173.4,617,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,77,28,0,31,77,28,391,10,644,16,110,10,-9900,99,-9900,99,-9900,99,1.3,51,0.088,1,0.173,1,0.361,51,0.16,0
2010-01-01,13:00,64.3,188.7,613,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,77,28,0,31,77,28,387,10,641,16,109,10,-9900,99,-9900,99,-9900,99,1.3,3,0.088,1,0.173,1,0.362,51,0.16,0
2010-01-01,14:00,67.4,203.4,543,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,77,28,0,31,77,28,327,10,594,16,99,10,-9900,99,-9900,99,-9900,99,1.3,51,0.088,1,0.173,1,0.363,51,0.16,0
2010-01-01,15:00,73.1,216.7,411,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,63,28,0,31,63,28,220,10,484,16,80,10,-9900,99,-9900,99,-9900,99,1.3,51,0.088,1,0.173,1,0.365,51,0.16,0
2010-01-01,16:00,80.7,228.5,228,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,48,28,0,31,48,28,94,10,261,16,52,10,-9900,99,-9900,99,-9900,99,1.2,3,0.088,1,0.173,1,0.366,51,0.16,0
2010-01-01,17:00,87.5,236.7,34,790,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,6,28,0,31,6,28,7,10,16,16,7,10,-9900,99,-9900,99,-9900,99,1.2,51,0.088,1,0.173,1,0.367,51,0.16,0
2010-01-01,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.088,1,0.173,1,0.368,51,0.16,0
2010-01-01,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.088,1,0.173,1,0.370,51,0.16,0
2010-01-01,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.088,1,0.173,1,0.371,51,0.16,0
2010-01-01,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.088,1,0.173,1,0.372,51,0.16,0
2010-01-01,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.088,1,0.173,1,0.373,51,0.16,0
2010-01-01,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.088,1,0.173,1,0.375,51,0.16,0
2010-01-01,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.088,1,0.173,1,0.376,51,0.16,0
2010-01-02,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.088,1,0.173,1,0.377,51,0.16,0
2010-01-02,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.088,1,0.173,1,0.378,51,0.16,0
