YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2010-01-02,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.088,1,0.173,1,0.380,51,0.16,0
2010-01-02,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.088,1,0.173,1,0.381,51,0.16,0
2010-01-02,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.088,1,0.173,1,0.382,51,0.16,0
2010-01-02,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.088,1,0.173,1,0.383,51,0.16,0
2010-01-02,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.088,1,0.173,1,0.385,51,0.16,0
2010-01-02,8:00,87.0,123.8,52,979,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,8,28,2,31,8,28,18,10,171,16,9,10,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.055,1,0.386,51,0.16,0
2010-01-02,9:00,79.7,132.8,254,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,31,28,59,31,20,28,137,10,575,16,34,10,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.055,1,0.387,51,0.16,0
2010-01-02,10:00,72.2,144.8,432,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,85,28,32,31,75,28,276,10,753,16,46,10,-9900,99,-9900,99,-9900,99,0.7,3,0.088,1,0.055,1,0.388,51,0.16,0
2010-01-02,11:00,66.8,158.4,556,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,117,28,28,31,106,28,382,10,831,16,55,10,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.055,1,0.390,51,0.16,0
2010-01-02,12:00,64.1,173.2,619,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,154,28,89,31,115,28,437,10,862,16,59,10,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.055,1,0.391,51,0.16,0
2010-01-02,13:00,64.2,188.5,615,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,50,28,36,31,35,28,434,10,861,16,59,10,-9900,99,-9900,99,-9900,99,0.7,3,0.088,1,0.055,1,0.392,51,0.16,0
2010-01-02,14:00,67.3,203.3,545,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,72,28,41,31,56,28,373,10,827,16,54,10,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.055,1,0.393,51,0.16,0
2010-01-02,15:00,73.0,216.7,414,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,99,28,11,31,96,28,262,10,741,16,45,10,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.055,1,0.395,51,0.16,0
2010-01-02,16:00,80.6,228.5,231,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,89,28,20,31,86,28,121,10,546,16,32,10,-9900,99,-9900,99,-9900,99,0.6,3,0.088,1,0.055,1,0.396,51,0.16,0
2010-01-02,17:00,87.5,236.8,36,814,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,7,28,14,31,7,28,12,10,128,16,6,10,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.055,1,0.397,51,0.16,0
2010-01-02,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.055,1,0.398,51,0.16,0
2010-01-02,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.088,1,0.055,1,0.400,51,0.16,0
2010-01-02,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.055,1,0.401,51,0.16,0
2010-01-02,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.055,1,0.402,51,0.16,0
2010-01-02,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.088,1,0.055,1,0.403,51,0.16,0
2010-01-02,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.055,1,0.405,51,0.16,0
2010-01-02,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.088,1,0.055,1,0.406,51,0.16,0
2010-01-03,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.088,1,0.055,1,0.407,2,0.16,0
2010-01-03,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.088,1,0.055,1,0.404,51,0.16,0
2010-01-03,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.055,1,0.401,51,0.16,0
2010-01-03,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.088,1,0.055,1,0.399,51,0.16,0
2010-01-03,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.055,1,0.396,51,0.16,0
2010-01-03,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.055,1,0.393,51,0.16,0
2010-01-03,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.088,1,0.055,1,0.390,51,0.16,0
2010-01-03,8:00,87.0,123.7,52,979,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,8,24,0,27,8,24,14,10,49,16,11,10,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.138,1,0.387,51,0.16,0
2010-01-03,9:00,79.6,132.7,254,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,38,24,0,27,38,24,118,10,369,16,51,10,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.138,1,0.385,51,0.16,0
2010-01-03,10:00,72.2,144.7,432,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,87,24,0,27,87,24,250,10,577,16,74,10,-9900,99,-9900,99,-9900,99,0.7,3,0.088,1,0.138,1,0.382,51,0.16,0
2010-01-03,11:00,66.8,158.2,558,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,99,24,0,27,99,24,356,10,676,16,89,10,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.138,1,0.379,51,0.16,0
2010-01-03,12:00,64.0,173.1,621,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,333,24,337,27,185,24,411,10,716,16,97,10,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.138,1,0.376,51,0.16,0
2010-01-03,13:00,64.1,188.4,618,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,114,24,0,27,114,24,408,10,714,16,96,10,-9900,99,-9900,99,-9900,99,0.7,3,0.088,1,0.138,1,0.374,51,0.16,0
2010-01-03,14:00,67.2,203.2,548,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,81,28,0,31,81,28,347,10,669,16,88,10,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.138,1,0.371,51,0.16,0
2010-01-03,15:00,72.8,216.6,417,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,110,28,3,31,109,28,238,10,563,16,72,10,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.138,1,0.368,51,0.16,0
2010-01-03,16:00,80.5,228.4,234,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,50,28,29,31,45,28,105,10,340,16,49,10,-9900,99,-9900,99,-9900,99,0.7,3,0.088,1,0.138,1,0.365,51,0.16,0
2010-01-03,17:00,87.4,236.9,38,837,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,9,28,2,31,9,28,9,10,34,16,8,10,-9900,99,-9900,99,-9900,99,0.8,51,0.088,1,0.138,1,0.362,51,0.16,0
2010-01-03,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.088,1,0.138,1,0.360,51,0.16,0
2010-01-03,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.088,1,0.138,1,0.357,51,0.16,0
2010-01-03,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.088,1,0.138,1,0.354,51,0.16,0
2010-01-03,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.088,1,0.138,1,0.351,51,0.16,0
2010-01-03,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.088,1,0.138,1,0.348,51,0.16,0
2010-01-03,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.088,1,0.138,1,0.346,51,0.16,0
2010-01-03,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.088,1,0.138,1,0.343,51,0.16,0
2010-01-04,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.088,1,0.138,1,0.340,2,0.16,0
2010-01-04,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.088,1,0.138,1,0.341,51,0.16,0
2010-01-04,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.088,1,0.138,1,0.342,51,0.16,0
2010-01-04,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.088,1,0.138,1,0.343,51,0.16,0
2010-01-04,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.088,1,0.138,1,0.344,51,0.16,0
2010-01-04,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.088,1,0.138,1,0.345,51,0.16,0
2010-01-04,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.088,1,0.138,1,0.346,51,0.16,0
2010-01-04,8:00,87.0,123.5,52,979,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,15,24,66,27,12,24,17,10,145,16,10,10,-9900,99,-9900,99,-9900,99,0.8,51,0.088,1,0.067,1,0.347,51,0.16,0
2010-01-04,9:00,79.6,132.5,255,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,99,24,55,27,89,24,134,10,542,16,37,10,-9900,99,-9900,99,-9900,99,0.8,51,0.088,1,0.067,1,0.348,51,0.16,0
2010-01-04,10:00,72.2,144.5,433,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,209,24,231,27,138,24,273,10,726,16,51,10,-9900,99,-9900,99,-9900,99,0.8,3,0.088,1,0.067,1,0.349,51,0.16,0
2010-01-04,11:00,66.7,158.1,559,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,239,24,330,27,108,24,380,10,808,16,61,10,-9900,99,-9900,99,-9900,99,0.8,51,0.088,1,0.067,1,0.350,51,0.16,0
2010-01-04,12:00,63.9,173.0,623,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,342,24,115,27,291,24,435,10,840,16,66,10,-9900,99,-9900,99,-9900,99,0.8,51,0.088,1,0.067,1,0.351,51,0.16,0
2010-01-04,13:00,64.0,188.3,620,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,270,24,79,27,235,24,433,10,838,16,65,10,-9900,99,-9900,99,-9900,99,0.8,3,0.088,1,0.067,1,0.352,51,0.16,0
2010-01-04,14:00,67.1,203.1,551,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,172,24,103,27,132,24,373,10,803,16,60,10,-9900,99,-9900,99,-9900,99,0.8,51,0.088,1,0.067,1,0.353,51,0.16,0
2010-01-04,15:00,72.7,216.6,420,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,207,24,266,27,128,24,262,10,715,16,50,10,-9900,99,-9900,99,-9900,99,0.8,51,0.088,1,0.067,1,0.354,51,0.16,0
2010-01-04,16:00,80.3,228.4,238,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,38,24,25,27,34,24,122,10,518,16,36,10,-9900,99,-9900,99,-9900,99,0.8,3,0.088,1,0.067,1,0.355,51,0.16,0
2010-01-04,17:00,87.3,236.9,40,861,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,8,24,10,27,8,24,13,10,116,16,7,10,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.067,1,0.356,51,0.16,0
2010-01-04,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.088,1,0.067,1,0.357,51,0.16,0
2010-01-04,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.088,1,0.067,1,0.358,51,0.16,0
2010-01-04,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.067,1,0.359,51,0.16,0
2010-01-04,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.067,1,0.360,51,0.16,0
2010-01-04,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.088,1,0.067,1,0.361,51,0.16,0
2010-01-04,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.067,1,0.362,51,0.16,0
2010-01-04,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.067,1,0.363,51,0.16,0
2010-01-05,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.088,1,0.067,1,0.364,2,0.16,0
2010-01-05,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.067,1,0.366,51,0.16,0
2010-01-05,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.067,1,0.368,51,0.16,0
2010-01-05,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.088,1,0.067,1,0.369,51,0.16,0
2010-01-05,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.067,1,0.371,51,0.16,0
2010-01-05,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.088,1,0.067,1,0.373,51,0.16,0
